VideoID,UserID,UserName,VideoName,VideoDescription,FName,LName,TimeDateStamp
564,326,UserNumber326learning,Create New Calendar Appointments and Meetings,"Learn about new calendar appointments, how to add people to meetings and the scheduling assistant",Craig,Hunt,6/18/2016
579,326,UserNumber326learning,Add people to your favorites and other groups,"Learn how to add users to the various groups of Skype for Business",Craig,Hunt,6/18/2016
559,326,UserNumber326learning,Learn how to use Settings,"Learn how to setup your signature, turn on automatic replies and change your theme",Craig,Hunt,6/18/2016
583,326,UserNumber326learning,Create new documents and folders in OneDrive,"Learn about creating documents via the browser and then using them with your familiar tools on the Desktop",Craig,Hunt,6/18/2016
564,805,UserNumber805learning,Create New Calendar Appointments and Meetings,"Learn about new calendar appointments, how to add people to meetings and the scheduling assistant",Renae,Frick,6/18/2016
595,805,UserNumber805learning,A first look at getting started with Outlook Groups,"This is the full course for you to learn about the new feature of Outlook Groups - imagine distribution groups on steroids",Renae,Frick,6/18/2016
583,805,UserNumber805learning,Create new documents and folders in OneDrive,"Learn about creating documents via the browser and then using them with your familiar tools on the Desktop",Renae,Frick,6/18/2016
562,342,UserNumber342learning,"Drag, Drop and other mail management","Learn about drag and drop in the browser, and how to use built in options for working with mail",Tina,Rooz,6/18/2016
595,342,UserNumber342learning,A first look at getting started with Outlook Groups,"This is the full course for you to learn about the new feature of Outlook Groups - imagine distribution groups on steroids",Tina,Rooz,6/18/2016
583,342,UserNumber342learning,Create new documents and folders in OneDrive,"Learn about creating documents via the browser and then using them with your familiar tools on the Desktop",Tina,Rooz,6/18/2016
568,342,UserNumber342learning,A first look at getting Started with Skype For Business,This is the full course for you to learn about the basics of Skype for Business and to start with messaging,Tina,Rooz,6/18/2016
556,342,UserNumber342learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Tina,Rooz,6/18/2016
556,342,UserNumber342learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Tina,Rooz,6/18/2016
579,342,UserNumber342learning,Add people to your favorites and other groups,"Learn how to add users to the various groups of Skype for Business",Tina,Rooz,6/18/2016
568,342,UserNumber342learning,A first look at getting Started with Skype For Business,This is the full course for you to learn about the basics of Skype for Business and to start with messaging,Tina,Rooz,6/18/2016
591,342,UserNumber342learning,Retrieve Deleted files from OneDrive Recycle bin,"Learn how to restore a deleted file from OneDrive",Tina,Rooz,6/18/2016
556,342,UserNumber342learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Tina,Rooz,6/18/2016
560,342,UserNumber342learning,Navigate Outlook Web Access Calendar,"Learn how to navigate your calendar via the browser, new appointments and basic navigation",Tina,Rooz,6/18/2016
556,342,UserNumber342learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Tina,Rooz,6/18/2016
562,342,UserNumber342learning,"Drag, Drop and other mail management","Learn about drag and drop in the browser, and how to use built in options for working with mail",Tina,Rooz,6/18/2016
568,342,UserNumber342learning,A first look at getting Started with Skype For Business,This is the full course for you to learn about the basics of Skype for Business and to start with messaging,Tina,Rooz,6/18/2016
599,342,UserNumber342learning,Using Group Notebook with OneNote Online,"Learn about OneNote Online and how your group can use it.",Tina,Rooz,6/18/2016
561,342,UserNumber342learning,"Search, Sort and Filter your email",Learn how to use the various sort options when you search for email via the browser,Tina,Rooz,6/18/2016
579,342,UserNumber342learning,Add people to your favorites and other groups,"Learn how to add users to the various groups of Skype for Business",Tina,Rooz,6/18/2016
589,342,UserNumber342learning,Manage and Restore Versions in OneDrive,"Learn about versioning and how to restore versions using OneDrive",Tina,Rooz,6/18/2016
584,342,UserNumber342learning,Create new shared Excel files in OneDrive,"Learn about Excel Online and ease of sharing and use",Tina,Rooz,6/18/2016
595,326,UserNumber326learning,A first look at getting started with Outlook Groups,"This is the full course for you to learn about the new feature of Outlook Groups - imagine distribution groups on steroids",Craig,Hunt,6/20/2016
609,326,UserNumber326learning,A Full Course on  Started with Groups in Office365,A Full Course Introduction to Groups,Craig,Hunt,6/20/2016
564,326,UserNumber326learning,Create New Calendar Appointments and Meetings,"Learn about new calendar appointments, how to add people to meetings and the scheduling assistant",Craig,Hunt,6/20/2016
556,326,UserNumber326learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Craig,Hunt,6/21/2016
556,326,UserNumber326learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Craig,Hunt,6/21/2016
556,326,UserNumber326learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Craig,Hunt,6/21/2016
556,326,UserNumber326learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Craig,Hunt,6/21/2016
568,326,UserNumber326learning,A first look at getting Started with Skype For Business,This is the full course for you to learn about the basics of Skype for Business and to start with messaging,Craig,Hunt,6/21/2016
582,326,UserNumber326learning,A first look at getting started with OneDrive for Business,"This is the full course for you to learn about OneDrive for business and how to get started",Craig,Hunt,6/21/2016
595,326,UserNumber326learning,A first look at getting started with Outlook Groups,"This is the full course for you to learn about the new feature of Outlook Groups - imagine distribution groups on steroids",Craig,Hunt,6/21/2016
595,326,UserNumber326learning,A first look at getting started with Outlook Groups,"This is the full course for you to learn about the new feature of Outlook Groups - imagine distribution groups on steroids",Craig,Hunt,6/21/2016
556,342,UserNumber342learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Tina,Rooz,6/21/2016
582,1008,UserNumber1008learning,A first look at getting started with OneDrive for Business,"This is the full course for you to learn about OneDrive for business and how to get started",Kelsey,Irshad,6/21/2016
568,1008,UserNumber1008learning,A first look at getting Started with Skype For Business,This is the full course for you to learn about the basics of Skype for Business and to start with messaging,Kelsey,Irshad,6/21/2016
595,1008,UserNumber1008learning,A first look at getting started with Outlook Groups,"This is the full course for you to learn about the new feature of Outlook Groups - imagine distribution groups on steroids",Kelsey,Irshad,6/21/2016
582,1008,UserNumber1008learning,A first look at getting started with OneDrive for Business,"This is the full course for you to learn about OneDrive for business and how to get started",Kelsey,Irshad,6/21/2016
556,1008,UserNumber1008learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Kelsey,Irshad,6/21/2016
556,902,UserNumber902learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,David,Harlin,6/21/2016
556,1008,UserNumber1008learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Kelsey,Irshad,6/21/2016
556,326,UserNumber326learning,A first look at Getting Started with Office 365,This is the full course. Learn how to login and get started with your Mail and Calendar Apps in Office365,Craig,Hunt,6/21/2016
564,326,UserNumber326learning,Create New Calendar Appointments and Meetings,"Learn about new calendar appointments, how to add people to meetings and the scheduling assistant",Craig,Hunt,6/21/2016
562,326,UserNumber326learning,"Drag, Drop and other mail management","Learn about drag and drop in the browser, and how to use built in options for working with mail",Craig,Hunt,6/21/2016
565,326,UserNumber326learning,Embedded Email Feature,Learn about the embedded email and the pop out function for drafts,Craig,Hunt,6/21/2016
559,326,UserNumber326learning,Learn how to use Settings,"Learn how to setup your signature, turn on automatic replies and change your theme",Craig,Hunt,6/21/2016
558,326,UserNumber326learning,Navigate Outlook Web Access,"Learn how to navigate Outlook web access to use your email via the browser",Craig,Hunt,6/21/2016
568,326,UserNumber326learning,A first look at getting Started with Skype For Business,This is the full course for you to learn about the basics of Skype for Business and to start with messaging,Craig,Hunt,6/21/2016
579,326,UserNumber326learning,Add people to your favorites and other groups,"Learn how to add users to the various groups of Skype for Business",Craig,Hunt,6/21/2016
576,326,UserNumber326learning,Share Your Screen or the Burn,"Share Your Screen versus burn the carpet",Craig,Hunt,6/21/2016
566,326,UserNumber326learning,Whiteboard with Skype at your Desk with others,"Learn about the whiteboard features provided by Skype for Business",Craig,Hunt,6/21/2016
567,326,UserNumber326learning,Work with People and Other Groups,Learn how to work with people and other groups you have set up in Skype,Craig,Hunt,6/21/2016
595,326,UserNumber326learning,A first look at getting started with Outlook Groups,"This is the full course for you to learn about the new feature of Outlook Groups - imagine distribution groups on steroids",Craig,Hunt,6/21/2016
599,326,UserNumber326learning,Using Group Notebook with OneNote Online,"Learn about OneNote Online and how your group can use it.",Craig,Hunt,6/21/2016
598,326,UserNumber326learning,Work with a Shared Group Calendar,"Learn how to view the shared calendar and work with your group meetings and events",Craig,Hunt,6/21/2016
582,326,UserNumber326learning,A first look at getting started with OneDrive for Business,"This is the full course for you to learn about OneDrive for business and how to get started",Craig,Hunt,6/21/2016
